seed,num_trees,tree_id,x,y,steps,height,crown_volume,crown_radius,asymmetry_radius,consumed_AP,AP_in_growth_radius,neighboring_trees
4001,1,0,0.0,0.0,29,10.149671188390183,306.9752480277194,6.503960056505681,316.60635400888117,144,6250,0
4002,1,0,0.0,0.0,29,9.862696426458964,319.00637266989344,6.570681753500409,17.550499121013363,154,6250,0
4003,1,0,0.0,0.0,28,10.958156254491078,267.08135160055633,6.144918339353314,16.08780231608778,144,6250,0
4004,1,0,0.0,0.0,28,10.588208929795158,261.98220069403703,6.306398082067671,7.137722708362291,160,6250,0
4005,1,0,0.0,0.0,28,10.793480011903501,246.45184967033694,6.327202043750768,52.101035384421905,156,6250,0
4006,4,0,-0.75,-0.75,38,9.621084333643049,306.4136106100754,6.8475318762949575,11.19725724597533,155,6250,3
4006,4,1,-0.75,0.75,38,9.85567570864167,234.0523256135622,6.565468792829154,67.9017634926021,167,6250,3
4006,4,2,0.75,-0.75,38,13.591070698809549,354.4368290270394,7.4433169060101205,77.05669758953965,137,6250,3
4006,4,3,0.75,0.75,38,12.68546680322398,295.5501016871236,6.379248195893097,37.95168706239621,143,6250,3
4007,4,0,-0.75,-0.75,39,9.55487339475617,349.2542603015649,7.511659289046841,50.863959851559386,161,6250,3
4007,4,1,-0.75,0.75,39,9.376036531391279,255.6040231046533,6.1001949032304825,40.40768754926388,153,6250,3
4007,4,2,0.75,-0.75,39,13.14681029474447,360.30659013291853,7.185729271356342,15.358828846801325,148,6250,3
4007,4,3,0.75,0.75,39,14.145279454120942,507.0747558245518,9.135237945080917,680.854288862621,143,6250,3
4008,4,0,-0.75,-0.75,35,9.790581356564221,278.4381228100143,5.5918020921253895,26.118344343562594,173,6250,3
4008,4,1,-0.75,0.75,35,10.566556610303685,243.9031525801698,6.638381616435791,11.161747326658487,155,6250,3
4008,4,2,0.75,-0.75,35,12.701994408032562,378.1212871527964,7.520530207409282,71.78554324271317,146,6250,3
4008,4,3,0.75,0.75,35,13.13256773071429,303.0347046491983,6.591491928132777,24.84836170402769,149,6250,3
4009,4,0,-0.75,-0.75,37,9.258355366751346,290.5739980577155,5.9638166819405685,14.781119023556835,158,6250,3
4009,4,1,-0.75,0.75,37,10.244450997487679,719.7173419383369,9.50465939576717,24.09149546418345,161,6250,3
4009,4,2,0.75,-0.75,37,13.266151858799555,317.0987951568909,7.073059445854144,36.99915907851278,139,6250,3
4009,4,3,0.75,0.75,37,13.515588165824505,392.0675709383672,7.901152499426654,19.006932955252935,136,6250,3
4010,4,0,-0.75,-0.75,34,11.295001060843095,348.150826189242,7.481601411506361,9.516976393140498,171,6250,3
4010,4,1,-0.75,0.75,34,12.266827881521365,226.50616781479377,6.979892355827823,10.367349532368154,154,6250,3
4010,4,2,0.75,-0.75,34,12.703016810448437,340.9027693829445,7.0565178841091,14.626263713957014,145,6250,3
4010,4,3,0.75,0.75,34,12.872220840073163,290.0767196672488,6.856911031581161,17.372960090019042,136,6250,3
4011,9,0,-1.5,-1.5,526,9.603816460839573,174.62232852913263,5.21942658550195,14.776303999252873,161,6250,8
4011,9,1,-1.5,0.0,526,11.383464278578222,360.65065296890725,7.128092515507406,24.964916069790753,189,6250,8
4011,9,2,-1.5,1.5,526,10.647823290529445,334.82901039952486,7.16332995985413,32.567781821503075,161,6250,8
4011,9,3,0.0,-1.5,526,13.60154646040814,424.7828515553247,8.908354961173625,18.138233859130413,159,6250,8
4011,9,4,0.0,0.0,526,8.602829271820328,11.100414219592036,2.5411653007206545,19.886409037624755,5,6250,8
4011,9,5,0.0,1.5,526,12.582327997501524,543.6397126171014,8.401638257404214,31.847714748344885,144,6250,8
4011,9,6,1.5,-1.5,526,12.952260147469923,162.5721745226172,5.001821018318965,14.26780759081293,124,6250,8
4011,9,7,1.5,0.0,526,13.195099797297384,165.40170655622336,4.557170729749235,67.72932246912076,130,6250,8
4011,9,8,1.5,1.5,526,13.729578355736207,572.2715961828532,8.654882591766894,103.31817036590633,132,6250,8
4012,9,0,-1.5,-1.5,529,9.651920282812718,282.55350848710157,6.3575153610177715,19.77775836406184,182,6250,8
4012,9,1,-1.5,0.0,529,10.921912397015161,196.8867894422633,5.954862317404096,29.27378444609869,167,6250,8
4012,9,2,-1.5,1.5,529,10.561316378611572,410.3113206450698,7.685777733567176,25.78375888379099,166,6250,8
4012,9,3,0.0,-1.5,529,11.400845357142115,400.57326931564006,6.909984081247779,50.44321547706198,142,6250,8
4012,9,4,0.0,0.0,529,10.122880440982659,6.81047988717861,2.4634071321662234,11.457006667600899,4,6250,8
4012,9,5,0.0,1.5,529,11.481303868416887,481.75057480869776,7.8305164681300345,10.404917497159383,158,6250,8
4012,9,6,1.5,-1.5,529,14.325358634305916,351.88095123769085,6.8433026475652206,21.154294178914984,136,6250,8
4012,9,7,1.5,0.0,529,16.36497158355706,292.36074223346884,6.418485939743064,9.01604122266919,132,6250,8
4012,9,8,1.5,1.5,529,13.924738383624344,214.85931132664058,5.569337693130637,23.32995411131658,123,6250,8
4013,9,0,-1.5,-1.5,51,9.91091655437594,257.02022462093254,6.700278025745509,17.26046597213973,160,6250,8
4013,9,1,-1.5,0.0,51,10.985102102153824,241.7168767893299,5.579896468668517,42.282755894329796,163,6250,8
4013,9,2,-1.5,1.5,51,10.469734925667355,305.89895244853665,6.674042408965194,54.70611262906897,162,6250,8
4013,9,3,0.0,-1.5,51,11.161377411419325,402.798500794772,7.0440003022028534,12.148331283804735,164,6250,8
4013,9,4,0.0,0.0,51,12.971648022790962,443.91012119233864,7.248602352503337,7.115609353608105,143,6250,8
4013,9,5,0.0,1.5,51,11.810172472279406,461.34602397485725,7.865064872931234,5.547799963260353,171,6250,8
4013,9,6,1.5,-1.5,51,13.534535753181112,199.31021553763745,4.58920438881749,118.14628919069773,123,6250,8
4013,9,7,1.5,0.0,51,13.591715976257497,282.87892965811864,5.718703546136884,8.461703801647468,130,6250,8
4013,9,8,1.5,1.5,51,12.56204276386492,278.889410398726,5.987282210433641,30.15049733240556,122,6250,8
4014,9,0,-1.5,-1.5,525,10.35713003027963,183.96312850236342,5.58230491068105,29.80334470820388,172,6250,8
4014,9,1,-1.5,0.0,525,10.774715677881616,260.4639495543633,6.260692007051359,53.850513000870386,182,6250,8
4014,9,2,-1.5,1.5,525,9.557786624402153,276.97852156950034,6.538942055270392,56.976178057332156,168,6250,8
4014,9,3,0.0,-1.5,525,13.503484902432056,347.6349685697769,7.226411956430197,15.699669210181904,163,6250,8
4014,9,4,0.0,0.0,525,8.883674953765501,5.450926168883457,1.605252999431859,13.06017290814981,8,6250,8
4014,9,5,0.0,1.5,525,11.401670776168105,364.927719414113,7.124587237139044,13.434929975981854,148,6250,8
4014,9,6,1.5,-1.5,525,12.78127083149752,174.89651857860505,5.217137936541146,30.79314614676658,126,6250,8
4014,9,7,1.5,0.0,525,13.972730644075284,208.87565829085003,5.11927063147586,21.114728515357616,122,6250,8
4014,9,8,1.5,1.5,525,12.747821105992022,400.35153702183794,7.335304873315442,32.72208165215663,124,6250,8
4015,9,0,-1.5,-1.5,527,9.572884736350039,276.03228055772274,6.653730499390624,8.24342036383426,177,6250,8
4015,9,1,-1.5,0.0,527,10.579227651642546,292.87793040490436,7.237920554201575,30.67124008995396,183,6250,8
4015,9,2,-1.5,1.5,527,9.76011921015945,208.27444252601856,5.6082206118128335,19.046708924598747,166,6250,8
4015,9,3,0.0,-1.5,527,12.693778974324525,322.4643082640792,6.683159980069752,118.67500710681722,166,6250,8
4015,9,4,0.0,0.0,527,9.223954622187787,5.813084569699689,1.3288994646038714,13.561501106191692,5,6250,8
4015,9,5,0.0,1.5,527,14.45331818818126,436.56179328024757,8.389733711710438,7.494438917908355,165,6250,8
4015,9,6,1.5,-1.5,527,12.818959187662475,256.29363820011275,5.678441278455264,44.55971725154985,127,6250,8
4015,9,7,1.5,0.0,527,14.035654215783575,394.5990541907792,6.534800377797228,15.453680932135876,136,6250,8
